site,biological_row_id,plant_global_rtl,plant_uid,measurement_round_within_site,measurement_datetime,measurement_date,manual_height_cm,source_sheet,source_cell
Marsden,M-0006,9,M-0006-p09,1,2024-07-05T09:30:00-05:00,2024-07-05,75.0,Plant height ground truth-cm,D10
Marsden,M-0006,9,M-0006-p09,2,2024-07-10T13:12:00-05:00,2024-07-10,90.0,Plant height ground truth-cm,F10
Marsden,M-0006,9,M-0006-p09,3,2024-07-15T08:05:00-05:00,2024-07-15,115.0,Plant height ground truth-cm,G10
Marsden,M-0006,9,M-0006-p09,4,2024-07-18T08:30:00-05:00,2024-07-18,126.0,Plant height ground truth-cm,H10
Marsden,M-0006,9,M-0006-p09,5,2024-07-23T09:07:00-05:00,2024-07-23,148.0,Plant height ground truth-cm,I10
Marsden,M-0006,9,M-0006-p09,6,2024-07-28T08:30:00-05:00,2024-07-28,150.0,Plant height ground truth-cm,J10
Marsden,M-0006,10,M-0006-p10,1,2024-07-05T09:30:00-05:00,2024-07-05,57.0,Plant height ground truth-cm,D11
Marsden,M-0006,10,M-0006-p10,2,2024-07-10T13:12:00-05:00,2024-07-10,81.0,Plant height ground truth-cm,F11
Marsden,M-0006,10,M-0006-p10,3,2024-07-15T08:05:00-05:00,2024-07-15,98.0,Plant height ground truth-cm,G11
Marsden,M-0006,10,M-0006-p10,4,2024-07-18T08:30:00-05:00,2024-07-18,115.0,Plant height ground truth-cm,H11
Marsden,M-0006,10,M-0006-p10,5,2024-07-23T09:07:00-05:00,2024-07-23,140.0,Plant height ground truth-cm,I11
Marsden,M-0006,10,M-0006-p10,6,2024-07-28T08:30:00-05:00,2024-07-28,165.0,Plant height ground truth-cm,J11
Marsden,M-0006,11,M-0006-p11,1,2024-07-05T09:30:00-05:00,2024-07-05,25.0,Plant height ground truth-cm,D12
Marsden,M-0006,11,M-0006-p11,2,2024-07-10T13:12:00-05:00,2024-07-10,42.0,Plant height ground truth-cm,F12
Marsden,M-0006,11,M-0006-p11,3,2024-07-15T08:05:00-05:00,2024-07-15,55.0,Plant height ground truth-cm,G12
Marsden,M-0006,11,M-0006-p11,4,2024-07-18T08:30:00-05:00,2024-07-18,67.0,Plant height ground truth-cm,H12
