site,biological_row_id,plant_global_rtl,plant_uid,measurement_round_within_site,measurement_datetime,measurement_date,manual_height_cm,source_sheet,source_cell
Woodruff,W-0015,4,W-0015-p04,3,2024-07-18T13:47:00-05:00,2024-07-18,130.0,Plant height ground truth-cm,H29
Woodruff,W-0015,4,W-0015-p04,4,2024-07-23T10:45:00-05:00,2024-07-23,155.0,Plant height ground truth-cm,I29
Woodruff,W-0015,4,W-0015-p04,5,2024-07-28T11:50:00-05:00,2024-07-28,181.0,Plant height ground truth-cm,J29
Woodruff,W-0015,5,W-0015-p05,1,2024-07-06T18:27:00-05:00,2024-07-06,63.0,Plant height ground truth-cm,E30
Woodruff,W-0015,5,W-0015-p05,2,2024-07-15T09:22:00-05:00,2024-07-15,103.0,Plant height ground truth-cm,G30
Woodruff,W-0015,5,W-0015-p05,3,2024-07-18T13:47:00-05:00,2024-07-18,120.0,Plant height ground truth-cm,H30
Woodruff,W-0015,5,W-0015-p05,4,2024-07-23T10:45:00-05:00,2024-07-23,138.0,Plant height ground truth-cm,I30
Woodruff,W-0015,5,W-0015-p05,5,2024-07-28T11:50:00-05:00,2024-07-28,158.0,Plant height ground truth-cm,J30
Woodruff,W-0015,6,W-0015-p06,1,2024-07-06T18:27:00-05:00,2024-07-06,66.0,Plant height ground truth-cm,E31
Woodruff,W-0015,6,W-0015-p06,2,2024-07-15T09:22:00-05:00,2024-07-15,107.0,Plant height ground truth-cm,G31
Woodruff,W-0015,6,W-0015-p06,3,2024-07-18T13:47:00-05:00,2024-07-18,125.0,Plant height ground truth-cm,H31
Woodruff,W-0015,6,W-0015-p06,4,2024-07-23T10:45:00-05:00,2024-07-23,145.0,Plant height ground truth-cm,I31
Woodruff,W-0015,6,W-0015-p06,5,2024-07-28T11:50:00-05:00,2024-07-28,170.0,Plant height ground truth-cm,J31
Woodruff,W-0015,7,W-0015-p07,1,2024-07-06T18:27:00-05:00,2024-07-06,15.0,Plant height ground truth-cm,E32
Woodruff,W-0015,7,W-0015-p07,2,2024-07-15T09:22:00-05:00,2024-07-15,26.0,Plant height ground truth-cm,G32
Woodruff,W-0015,7,W-0015-p07,3,2024-07-18T13:47:00-05:00,2024-07-18,30.0,Plant height ground truth-cm,H32
Woodruff,W-0015,7,W-0015-p07,4,2024-07-23T10:45:00-05:00,2024-07-23,45.0,Plant height ground truth-cm,I32
Woodruff,W-0015,7,W-0015-p07,5,2024-07-28T11:50:00-05:00,2024-07-28,60.0,Plant height ground truth-cm,J32
Woodruff,W-0015,8,W-0015-p08,1,2024-07-06T18:27:00-05:00,2024-07-06,67.0,Plant height ground truth-cm,E33
Woodruff,W-0015,8,W-0015-p08,2,2024-07-15T09:22:00-05:00,2024-07-15,107.0,Plant height ground truth-cm,G33
Woodruff,W-0015,8,W-0015-p08,3,2024-07-18T13:47:00-05:00,2024-07-18,120.0,Plant height ground truth-cm,H33
Woodruff,W-0015,8,W-0015-p08,4,2024-07-23T10:45:00-05:00,2024-07-23,135.0,Plant height ground truth-cm,I33
Woodruff,W-0015,8,W-0015-p08,5,2024-07-28T11:50:00-05:00,2024-07-28,155.0,Plant height ground truth-cm,J33
Woodruff,W-0015,9,W-0015-p09,1,2024-07-06T18:27:00-05:00,2024-07-06,68.0,Plant height ground truth-cm,E34
Woodruff,W-0015,9,W-0015-p09,2,2024-07-15T09:22:00-05:00,2024-07-15,115.0,Plant height ground truth-cm,G34
Woodruff,W-0015,9,W-0015-p09,3,2024-07-18T13:47:00-05:00,2024-07-18,125.0,Plant height ground truth-cm,H34
Woodruff,W-0015,9,W-0015-p09,4,2024-07-23T10:45:00-05:00,2024-07-23,150.0,Plant height ground truth-cm,I34
Woodruff,W-0015,9,W-0015-p09,5,2024-07-28T11:50:00-05:00,2024-07-28,175.0,Plant height ground truth-cm,J34
Woodruff,W-0015,10,W-0015-p10,1,2024-07-06T18:27:00-05:00,2024-07-06,75.0,Plant height ground truth-cm,E35
Woodruff,W-0015,10,W-0015-p10,2,2024-07-15T09:22:00-05:00,2024-07-15,105.0,Plant height ground truth-cm,G35
Woodruff,W-0015,10,W-0015-p10,3,2024-07-18T13:47:00-05:00,2024-07-18,125.0,Plant height ground truth-cm,H35
Woodruff,W-0015,10,W-0015-p10,4,2024-07-23T10:45:00-05:00,2024-07-23,146.0,Plant height ground truth-cm,I35
Woodruff,W-0015,10,W-0015-p10,5,2024-07-28T11:50:00-05:00,2024-07-28,167.0,Plant height ground truth-cm,J35
Woodruff,W-0015,11,W-0015-p11,1,2024-07-06T18:27:00-05:00,2024-07-06,73.0,Plant height ground truth-cm,E36
Woodruff,W-0015,11,W-0015-p11,2,2024-07-15T09:22:00-05:00,2024-07-15,98.0,Plant height ground truth-cm,G36
Woodruff,W-0015,11,W-0015-p11,3,2024-07-18T13:47:00-05:00,2024-07-18,111.0,Plant height ground truth-cm,H36
Woodruff,W-0015,11,W-0015-p11,4,2024-07-23T10:45:00-05:00,2024-07-23,130.0,Plant height ground truth-cm,I36
Woodruff,W-0015,11,W-0015-p11,5,2024-07-28T11:50:00-05:00,2024-07-28,150.0,Plant height ground truth-cm,J36
