plant_uid,scenario,single_frame_rmse_cm,post_hoc_rmse_cm,prior_in_detection_rmse_cm,post_hoc_coverage_95,prior_in_detection_coverage_95,prior_in_detection_truth_closest_rate
depth_uncertainty_000,depth_uncertainty,3.0618625622068127,2.946777150580435,2.9664423507282325,1.0,1.0,1.0
depth_uncertainty_001,depth_uncertainty,3.6662892381019367,3.671254945496379,3.6773958282459307,1.0,1.0,1.0
depth_uncertainty_002,depth_uncertainty,14.296862160485206,16.37620741138331,14.870090775758127,0.9166666666666666,0.75,0.9166666666666666
depth_uncertainty_003,depth_uncertainty,14.189021499638041,16.08298011720254,3.4322423141700917,0.8333333333333334,1.0,1.0
depth_uncertainty_004,depth_uncertainty,25.376691515406705,23.37470849572801,3.2290919708519956,0.75,1.0,1.0
depth_uncertainty_005,depth_uncertainty,9.879870567943252,10.899458537418194,3.4319218162887717,0.9166666666666666,1.0,1.0
depth_uncertainty_006,depth_uncertainty,2.930660480885641,2.7961341240369637,2.839786208321125,1.0,1.0,1.0
depth_uncertainty_007,depth_uncertainty,17.596827859073056,17.891650135945614,17.785763854094807,0.9166666666666666,0.9166666666666666,0.9166666666666666
depth_uncertainty_008,depth_uncertainty,8.053985697027708,8.464945775870218,8.554962598057573,0.9166666666666666,0.9166666666666666,0.9166666666666666
depth_uncertainty_009,depth_uncertainty,19.110172548095257,11.065638742532077,9.628026842424859,0.9166666666666666,0.9166666666666666,0.9166666666666666
depth_uncertainty_010,depth_uncertainty,2.958033370574355,3.7468615368694085,20.96626488270237,1.0,0.8333333333333334,0.8333333333333334
depth_uncertainty_011,depth_uncertainty,2.4277158730461617,3.218031399051429,10.839846983794201,1.0,0.9166666666666666,0.9166666666666666
depth_uncertainty_012,depth_uncertainty,8.770484938542719,8.501527715690436,2.628112522519286,0.9166666666666666,1.0,1.0
depth_uncertainty_013,depth_uncertainty,2.1086256064745434,1.9943038757898441,2.0215182923865527,1.0,1.0,1.0
depth_uncertainty_014,depth_uncertainty,2.2587866408324295,2.383383750786628,2.2938057520609125,1.0,1.0,1.0
depth_uncertainty_015,depth_uncertainty,22.4316082214555,14.076053261856684,2.0633174262796103,1.0,1.0,1.0
depth_uncertainty_016,depth_uncertainty,11.052015269146164,13.374767567904692,14.510553059869398,0.9166666666666666,0.9166666666666666,0.9166666666666666
depth_uncertainty_017,depth_uncertainty,13.93406174055976,20.374984032011035,16.83626433418273,0.9166666666666666,0.9166666666666666,0.9166666666666666
depth_uncertainty_018,depth_uncertainty,16.17180590189807,7.46888854510873,1.3033683738911839,1.0,1.0,1.0
depth_uncertainty_019,depth_uncertainty,13.833133909185403,10.173248490168797,13.34189968560568,1.0,0.8333333333333334,0.8333333333333334
depth_uncertainty_020,depth_uncertainty,28.228317286675935,14.433369444003388,4.147093673447026,0.9166666666666666,0.9166666666666666,1.0
depth_uncertainty_021,depth_uncertainty,22.18618360667385,16.863533854847788,2.9881681238048623,0.9166666666666666,1.0,1.0
depth_uncertainty_022,depth_uncertainty,13.194025609589287,9.818106134028772,2.316009913300958,0.9166666666666666,1.0,1.0
depth_uncertainty_023,depth_uncertainty,2.941684884720849,2.517649291052007,2.4905915428770147,1.0,1.0,1.0
depth_uncertainty_024,depth_uncertainty,8.99590789665381,9.620645611887285,9.597044289174463,0.9166666666666666,0.9166666666666666,0.9166666666666666
