camera,day,image,x_top,y_top,x_root,y_root,x_root_frac,height_px,conf,image_width
C_004,07_02,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,419.33966064453125,678.7891235351562,426.7571716308594,811.7315673828125,0.5520791353568685,132.94244384765625,0.8618869781494141,773
C_004,07_02,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,199.96954345703125,668.24267578125,189.6597137451172,805.437255859375,0.24535538647492522,137.194580078125,0.8065073490142822,773
C_004,07_02,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,254.09982299804688,691.7490844726562,266.0109558105469,804.8275146484375,0.3441280152788446,113.07843017578125,0.7803528904914856,773
C_004,07_02,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,570.8361206054688,712.042724609375,577.0945434570312,816.0514526367188,0.7465647392717093,104.00872802734375,0.7361633777618408,773
C_004,07_02,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,329.38238525390625,702.8062133789062,339.8980407714844,803.988037109375,0.4397128599889837,101.18182373046875,0.7310386300086975,773
C_004,07_11,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG,568.6498413085938,634.4945678710938,584.2646484375,798.4343872070312,0.7558404248868047,163.9398193359375,0.8589630126953125,773
C_004,07_11,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG,330.2164611816406,588.572021484375,348.3446350097656,776.7858276367188,0.4506398900514432,188.21380615234375,0.8459146022796631,773
C_004,07_11,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG,421.6600036621094,602.1210327148438,437.1815185546875,780.998779296875,0.5655647070565168,178.87774658203125,0.7749114036560059,773
C_004,07_11,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG,188.4176483154297,590.3848266601562,206.4505157470703,781.202392578125,0.2670769932044894,190.81756591796875,0.7201303243637085,773
C_004,07_11,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG,262.9327697753906,572.5540771484375,278.73443603515625,775.1087646484375,0.3605878862033069,202.5546875,0.6737624406814575,773
C_004,07_18,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,185.52142333984375,493.58685302734375,198.34864807128906,779.2662353515625,0.25659592247256024,285.67938232421875,0.86045241355896,773
C_004,07_18,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,341.05059814453125,495.46319580078125,350.0556945800781,780.4854125976562,0.4528534211902692,285.022216796875,0.8579308986663818,773
C_004,07_18,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,573.1430053710938,554.3916015625,580.2521362304688,789.8256225585938,0.7506495940885753,235.43402099609375,0.8339308500289917,773
C_004,07_18,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,263.51983642578125,498.9234619140625,275.02838134765625,779.7516479492188,0.3557935075648852,280.82818603515625,0.8069770336151123,773
C_004,07_18,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,419.1417541503906,497.5635070800781,432.5703125,784.2847900390625,0.5595993693402329,286.7212829589844,0.7951222658157349,773
C_004,07_18,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,488.40533447265625,729.2322998046875,492.0101623535156,796.4251098632812,0.6364943885556477,67.19281005859375,0.6599645018577576,773
C_004,07_30,LH85.21-C-004_2021-07-30-17-26_CAM789.JPG,339.8614196777344,467.64251708984375,350.23138427734375,759.0123901367188,0.4530807041104059,291.369873046875,0.8853482007980347,773
