row_id,pole_label,images,mean_length_px,sd_length_px,minimum_length_px,maximum_length_px,cv_percent,relative_range_percent
C-004,pole1,6,323.8222522048007,4.684738243754829,318.6040175515682,332.20054184182175,1.4467005314977477,4.1987615729553
C-004,pole2,6,158.23602402112132,2.9187672713888317,152.41735465490797,160.25999999999993,1.844565603467915,4.956295757308166
C-004,pole3,2,107.25189603375517,0.6337147064165985,106.80379206751036,107.7,0.5908657374384793,0.8356103394270842
C-005,pole1,5,303.12848950720064,3.7484745368846766,298.33578397503715,307.1204324039675,1.2365959210823811,2.897994986618276
C-005,pole2,4,155.87967266989452,1.291071041955581,154.40207252495023,157.5001269840757,0.8282484943945674,1.9874653353206677
C-005,pole3,5,102.71589020220668,4.514174892522578,95.11703317492616,106.42485611923564,4.394816501746678,11.008835071232774
C-009,pole1,5,334.16709091003503,3.542836562057424,328.631617468557,337.84508284123365,1.0601991214662225,2.757143244592299
C-009,pole2,5,119.41326329696263,4.126522260070063,112.05467415507484,121.74304908289427,3.4556649287843593,8.11331560693214
C-010,pole1,5,341.7230694694234,1.0569959765753538,340.0212346310154,342.7282451155726,0.3093136141544378,0.7921649798944636
C-010,pole2,5,164.9382858876288,1.401717005510334,163.7332586861936,167.2325626186479,0.8498433204679435,2.1215837873071783
C-010,pole3,3,107.20364951135139,0.6174926485296741,106.4909385816465,107.57815763434505,0.5759996523852392,1.0141623514257525
C-011,pole1,4,318.50230616204067,0.751415962676225,317.88383098232606,319.5880160456584,0.2359216709388396,0.5350620797280192
C-011,pole2,3,151.51576513882358,17.440738848892867,131.45105553018584,163.04309246331164,11.51084102232735,20.85065993243684
C-011,pole3,2,169.89251533022184,2.1946456526413187,168.3406665069376,171.44436415350611,1.291784778379179,1.8268595532509662
C-021,pole1,4,310.4910134431303,8.769497975587267,297.9065121812547,318.1341226589817,2.8243967122718328,6.514716884529706
C-021,pole2,5,106.01459883806915,3.4074978362547736,100.77167260693844,109.60957987329398,3.2141779279469986,8.33650022093175
C-021,pole3,3,145.7663673627649,5.348758621886002,139.6124994404155,149.29789013914424,3.669405171204334,6.644461870017641
C-024,pole1,4,330.99728077358316,1.2437151301658362,329.7527861898972,332.56549730842494,0.37574783915418103,0.8497686482360365
C-024,pole2,5,233.51183240754798,1.2500628330296408,231.6203143077049,234.6218233668812,0.5353316875386028,1.2853777165080735
C-024,pole3,5,227.78232460880204,1.0066005975073296,226.6010811977736,228.8042831766923,0.4419133921984885,0.9672400976250184
C-029,pole1,6,341.87266109116445,3.9033726615565443,336.7021383953479,346.70023074696684,1.141762154685912,2.924507715740635
C-029,pole2,4,260.8446985674997,2.758194875937507,257.84772638128885,263.7824861509952,1.0574088302675468,2.275208122802088
C-029,pole3,5,154.6402248659464,1.9624135043152586,152.34227909546323,156.5592539583656,1.2690187860347615,2.726958568870388
C-029,pole4,5,100.49292087089964,3.586581735284514,96.15742301039478,105.15369703438864,3.5689894414474153,8.952147022924247
C-032,pole1,3,326.37251265533877,13.628260144314561,317.7885145816318,342.0866703044712,4.175676448189893,7.444914868948903
C-032,pole2,5,141.50425128554394,2.8091075356855773,136.6522959924201,143.57611221926857,1.985175364107633,4.893009336431007
C-032,pole3,4,152.0053540945876,3.976569137509263,147.17526966171997,155.33219241354965,2.6160717569427083,5.3662075263177345
C-037,pole1,5,330.57977294697474,4.167990871904482,324.83991441939526,336.31514982230584,1.2608124310657782,3.4712454729501014
C-037,pole2,5,154.0645995133158,1.7143427317823365,152.70081859636508,157.00003184713051,1.1127427956830316,2.7905263534559426
C-037,pole3,4,139.17665317954106,4.273438855962432,132.86933431006568,142.07385403373843,3.0705141691039217,6.613551564427049
C-037,pole4,4,140.27413491454644,5.116909741321584,132.86733985445787,144.63875690837497,3.647792762677705,8.391723150592325
C-038,pole1,4,331.2372042280176,0.9234249340150806,330.3453950034721,332.28880510784586,0.27878056034412485,0.5867125067979823
C-038,pole2,4,164.77107949797602,1.2669443932333384,163.41389169834977,166.33905133792243,0.76891187281983,1.7752870518813264
C-038,pole3,4,242.2331468965516,1.8921045050994474,239.5580305479238,243.7625278831839,0.7811088322720309,1.7357233678079897
C-038,pole4,4,246.09995466738644,0.888678952410613,245.1551549529399,247.2546865076576,0.36110488261230966,0.8531214715400023
C-039,pole1,6,323.0588703033001,3.512489434376776,318.4955258712436,329.1602952969875,1.0872598641477065,3.3011845227253436
C-039,pole2,6,158.55190944595628,2.6586487638502274,153.69388406829984,160.75213839946267,1.6768317538026558,4.451699355641436
C-039,pole3,5,135.58299921273175,4.042017516102322,129.10313706490638,139.40358675443048,2.9812126443377585,7.597154325641182
C-039,pole4,3,140.09675869668092,0.327572932254418,139.72462202489584,140.3414764066561,0.23381906569561386,0.44030596246399156
