estimator,n,bias_cm,mae_cm,rmse_cm,pearson_r,baseline_minus_bayesian_mae_cm,gain_interval_low_cm,gain_interval_high_cm
single_frame,166,-13.486271470056074,18.103121159354387,23.538578067039087,0.8129118617114264,0.7419048660441945,-0.44194919210100636,1.3022976185238804
ewma,166,-16.455860412916092,19.69762233036266,24.442040166083192,0.8469020317622451,2.336406037052466,2.0305287787317,2.6335539800496903
running_median3,166,-16.264142527494986,19.936899513205624,24.657855693122062,0.8350327837865485,2.5756832198954314,2.176031576150871,3.5431790150894713
holt,166,-13.650554764180582,17.60324879328215,22.633671506359708,0.8429040812770048,0.24203249997195897,-0.006204231655480896,0.6012555973378397
gaussian_kalman,166,-13.224322844034694,17.34833000218012,22.422673774297344,0.8456548624999167,-0.012886291130072891,-0.019386973894711446,-0.0019853371011997467
bayesian_longitudinal,166,-13.244724947639103,17.361216293310193,22.40928043503168,0.8466529380330096,0.0,0.0,0.0
