replicate,single_frame_mae_cm,bayesian_mae_cm,mae_gain_cm,single_frame_minus_bayesian_mae_cm,ewma_minus_bayesian_mae_cm,running_median3_minus_bayesian_mae_cm,holt_minus_bayesian_mae_cm,gaussian_kalman_minus_bayesian_mae_cm,coverage_80_percent,width_80_cm,coverage_95_percent,width_95_cm
1,26.073586099013653,26.18072345618718,-0.1071373571735279,-0.1071373571735279,2.6335539800496903,2.9736793301273394,0.6439070142038084,-0.0013881418356760378,57.84313725490197,55.706774979952876,91.17647058823529,97.02579548600798
2,22.99029875404667,21.930291242228915,1.060007511817755,1.060007511817755,2.3078243483167746,2.2770082491137806,0.16574131373830525,-0.007946365005437883,69.86301369863014,55.977535245233675,93.15068493150685,97.497384985388
3,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648743253,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.5683271085611
4,14.266949499004534,13.774738107599802,0.4922113914047319,0.4922113914047319,2.358841126060046,2.810127014164898,0.30191697948869134,-0.01676386755048398,86.02150537634408,55.97168724010387,100.0,97.48719937780385
5,19.41092353269328,19.006524882635986,0.40439865005729203,0.40439865005729203,2.5298897707499464,2.69343558859358,0.4370035208368499,-0.008553506994719129,74.12587412587412,55.85608957104732,95.8041958041958,97.28586020854522
6,16.468764113195157,15.944231361906283,0.5245327512888736,0.5245327512888736,2.2122731138598937,2.876427098050822,0.22041346231959125,-0.01757435213530023,82.14285714285714,56.01018002099225,98.80952380952381,97.55424315636594
7,15.717491023102633,15.029523499471738,0.6879675236308955,0.6879675236308955,2.4724237416816113,2.5380830796998612,0.3223070190790782,-0.012525611593757091,83.15217391304348,55.93886179002357,98.36956521739131,97.43002652212564
8,14.266949499004534,13.774738107599802,0.4922113914047319,0.4922113914047319,2.3588411260600495,2.810127014164898,0.3019169794886949,-0.01676386755048398,86.02150537634408,55.97168724010387,100.0,97.48719937780385
9,14.266949499004534,13.774738107599802,0.4922113914047319,0.4922113914047319,2.3588411260600495,2.810127014164898,0.3019169794886949,-0.01676386755048398,86.02150537634408,55.97168724010387,100.0,97.48719937780385
10,18.571336369874654,17.37605233717259,1.1952840327020624,1.1952840327020624,2.2999683749006614,2.2154502773609934,0.1123594643672412,-0.011987862694116558,79.67914438502673,56.03235244122293,96.2566844919786,97.59286138029842
11,19.87133183669892,18.384792782867255,1.4865390538316667,1.4865390538316667,2.026461899589499,2.173163828323606,-0.10640617272320796,-0.015583932007743329,79.16666666666666,56.15277344243761,95.83333333333334,97.80260146021293
12,15.741649930887306,14.45974145937337,1.281908471513935,1.281908471513935,2.2949377954324444,2.176031576150871,0.07817635029629244,-0.014575839284233894,85.96491228070175,56.06745468075992,98.24561403508771,97.65399977353051
13,18.10312115935439,17.361216293310193,0.741904866044198,0.741904866044198,2.336406037052466,2.5756832198954314,0.24203249997195542,-0.012886291130072891,78.91566265060241,55.974258953203126,96.98795180722891,97.49167859077761
14,16.46876411319516,15.944231361906283,0.5245327512888771,0.5245327512888771,2.2122731138598937,2.876427098050822,0.22041346231959125,-0.01757435213530023,82.14285714285714,56.01018002099225,98.80952380952381,97.55424315636594
15,23.280192698686065,23.722141890787075,-0.4419491921010099,-0.4419491921010099,2.427317182142513,3.451842592720052,0.6012555973378397,-0.00918228171517299,63.46153846153846,55.769945242790136,94.23076923076923,97.13582061320393
16,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648743253,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.5683271085611
17,17.199912580697397,16.31188659226394,0.8880259884334585,0.8880259884334585,2.5885026785256215,2.2600601576641637,0.3431451914077073,-0.00819420715446384,80.21978021978022,55.90531490147999,96.7032967032967,97.37159712016881
18,16.468764113195157,15.944231361906283,0.5245327512888736,0.5245327512888736,2.21227311385989,2.876427098050822,0.22041346231959125,-0.01757435213530023,82.14285714285714,56.010180020992266,98.80952380952381,97.55424315636594
19,19.77734057249311,18.81276183279713,0.9645787396959804,0.9645787396959804,2.463566592518024,2.2676041251996644,0.26417883122559616,-0.008083887173498283,75.60975609756098,55.937461761809374,95.1219512195122,97.42758806017493
20,14.130066748131556,12.928014113619659,1.2020526345118974,1.2020526345118974,2.3997088767370105,2.177150697254193,0.1502085544014644,-0.01418243724579149,88.6178861788618,56.03415955425155,99.1869918699187,97.59600887141055
21,15.079103360041424,14.15198633031568,0.9271170297257445,0.9271170297257445,2.323647987453544,2.4609150338093464,0.1786975025421551,-0.01555886647631688,85.99033816425121,56.024428729160825,99.03381642512076,97.57906046530547
22,19.87133183669892,18.384792782867255,1.4865390538316667,1.4865390538316667,2.026461899589499,2.173163828323606,-0.10640617272320796,-0.015583932007743329,79.16666666666666,56.15277344243761,95.83333333333334,97.80260146021293
23,17.113619892754066,16.116353180751524,0.997266712002542,0.997266712002542,2.1900135824559612,2.4865901578645584,0.0945147434445559,-0.01616453521131689,82.53968253968253,56.063667533352756,97.88359788359789,97.64740361013862
24,18.57133636987465,17.37605233717259,1.1952840327020589,1.1952840327020589,2.2999683749006614,2.2154502773609934,0.1123594643672412,-0.011987862694116558,79.67914438502673,56.03235244122293,96.2566844919786,97.59286138029842
25,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648742898,-0.013334703526570735,73.64864864864865,56.01826623715607,95.27027027027027,97.56832710856112
26,16.468764113195157,15.944231361906283,0.5245327512888736,0.5245327512888736,2.2122731138598937,2.876427098050822,0.22041346231959125,-0.01757435213530023,82.14285714285714,56.010180020992266,98.80952380952381,97.55424315636594
27,21.376792954689222,20.71818506458286,0.6586078901063637,0.6586078901063637,2.680537278294249,2.336772703538898,0.4655279206051226,-0.0029062742489820437,70.2127659574468,55.81161383946655,93.61702127659575,97.20839578455015
28,18.103121159354384,17.361216293310193,0.7419048660441909,0.7419048660441909,2.336406037052466,2.575683219895435,0.24203249997195897,-0.012886291130069338,78.91566265060241,55.974258953203126,96.98795180722891,97.49167859077761
29,18.003782942511734,19.07815448947576,-1.0743715469640271,-1.0743715469640271,2.0377587860956226,4.355039866506285,0.5206918099243438,-0.023904545931991095,74.07407407407408,55.88926685037164,100.0,97.34364585346299
30,16.388976277876175,15.281913201290646,1.1070630765855292,1.1070630765855292,2.4252519630494156,2.2133320684323827,0.19579666513111782,-0.011743017216870655,83.41463414634146,55.995480437274686,97.5609756097561,97.5286405469163
31,19.199014234791534,18.63440299724632,0.5646112375452148,0.5646112375452148,2.0305287787317,2.9586392020693673,0.1193491010299077,-0.018579353020474088,77.33333333333333,56.057911069293866,97.33333333333334,97.63737744178293
32,23.28019269868607,23.722141890787075,-0.44194919210100636,-0.44194919210100636,2.427317182142513,3.4518425927200482,0.6012555973378397,-0.00918228171517299,63.46153846153846,55.76994524279014,94.23076923076923,97.13582061320393
33,21.069039707126837,20.260077604568814,0.8089621025580236,0.8089621025580236,2.167302944810828,2.62242934013857,0.14223174648742898,-0.013334703526574287,73.64864864864865,56.01826623715607,95.27027027027027,97.56832710856112
34,23.11089463501666,22.67570111202911,0.4351935229875501,0.4351935229875501,2.3575333671882817,2.76573933605399,0.3469152557157109,-0.008460506356687603,67.2,55.891177804217165,93.60000000000001,97.34697420655944
