rowid,date_md,plantid,source_image,x_root_recovered_px,x_root_pose_px,x_match_distance_px,pose_height_px,pose_confidence,date,height_true,height_est_cm,height_sam,pose_geometry_height_cm_2021,held_out_row,cv_prediction_cm,cv_error_cm
C_004,07_02,p1,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,568.0,576.43115234375,8.43115234375,104.10772705078124,0.8428400158882141,2021-07-02,46,52.40163029126214,48.6586566990291,43.2969461722412,C_004,47.608503160288834,1.6085031602888336
C_004,07_11,p1,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG,578.0,573.5209350585938,4.47906494140625,161.2822265625,0.9053719639778136,2021-07-11,60,74.85947184466019,74.8594718446602,67.07502007617187,C_004,73.70378689524415,13.70378689524415
C_004,07_18,p1,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,572.0,580.2520751953125,8.2520751953125,235.43408203125,0.8339312672615051,2021-07-18,132,108.13034822006472,106.882690355987,97.91373863964843,C_004,107.54778595873958,-24.45221404126042
C_004,08_06,p1,LH85.21-C-004_2021-08-06-18-49_CAM789.JPG,603.0,577.6406860351562,25.35931396484375,199.9141845703125,0.4279683828353882,2021-08-06,110,110.83360692556634,95.653769579288,83.14151056420899,C_004,91.3359815635004,-18.664018436499603
C_004,07_02,p3,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,335.0,342.0998229980469,7.099822998046875,100.3455810546875,0.8721646666526794,2021-07-02,74,63.83849404530744,54.8969460194175,41.732322322509766,C_004,45.89140431274633,-28.10859568725367
C_004,07_11,p3,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG,344.0,338.7779541015625,5.2220458984375,198.26812744140625,0.8517339825630188,2021-07-11,82,94.82199766990291,92.7425678964401,82.45693844909667,C_004,90.58469684409589,8.584696844095888
C_004,07_18,p3,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG,337.0,350.0556335449219,13.055633544921875,285.0220947265625,0.8579307198524475,2021-07-18,130,122.89429961165048,133.915277411003,118.53669888745117,C_004,130.1804853647312,0.18048536473119725
C_004,07_30,p3,LH85.21-C-004_2021-07-30-17-26_CAM789.JPG,338.0,350.2313842773437,12.231384277343693,291.36981201171875,0.8853482007980347,2021-07-30,136,132.251733592233,133.499391456311,121.17662563830565,C_004,133.0776770330462,-2.9223229669538
C_004,08_06,p3,LH85.21-C-004_2021-08-06-18-49_CAM789.JPG,340.0,349.56982421875,9.56982421875,293.6174621582031,0.7970163226127625,2021-08-06,132,129.75641786407766,145.975970097087,122.11139186712646,C_004,134.10353766690102,2.103537666901019
C_004,07_02,p4,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG,262.0,273.3077697753906,11.307769775390625,117.4658203125,0.7548184394836426,2021-07-02,60,66.1258667961165,57.8081477022654,48.852390146484375,C_004,53.70533368437762,-6.294666315622379
