biological_row_id,records,plants,single_frame_mae_cm,bayesian_mae_cm,bayesian_mae_gain_cm
M-0006,48,11,19.87133183669892,18.384792782867255,1.4865390538316678
M-0013,66,12,12.738244908478862,11.605158678650545,1.1330862298283162
W-0010,25,5,28.97871523535434,28.737648284203292,0.2410669511510494
W-0015,27,6,18.003782942511734,19.078154489475764,-1.074371546964027
