camera,day,image,image_role,candidates,sha256
C_032,07_02,C-032_2021-07-02.JPG,field_date_image,3,b577db77b250b9629804ee543ec9b46d40a73e42bb84942d429c595e37922ac2
C_032,07_11,C-032_2021-07-11.JPG,field_date_image,3,59614b75858a6520f85d3b621c114ce86af90dd7dc1ad14b3d8b0465d8017757
C_032,07_18,C-032_2021-07-18.JPG,field_date_image,4,231a7a1e95556efc9551cc4bdd61886094524bfeed74b5d713545eca129d7069
C_032,07_30,C-032_2021-07-30.JPG,field_date_image,4,dddcb43ecb44c5671718cb9bdc37dba445c382568f22dbcde61e966216cbe057
C_037,07_02,C-037_2021-07-02.JPG,field_date_image,5,d44d40e082afae7c0716b41751872e0267bd1c098381f51029615082cce5c192
C_037,07_11,C-037_2021-07-11.JPG,field_date_image,4,14f8006f19bca97154c24d66c9d2fcdd5f573cd0bba93d455c578eee2458539f
C_037,07_30,C-037_2021-07-30.JPG,field_date_image,5,1c0e8f33953f26fd76dbaf9eceabbc37b4aeab739bc523727ae0e687426e06d6
C_037,08_06,C-037_2021-08-06.JPG,field_date_image,5,0204bec5ac5513ce2bbf4ece113b065a381bea3c784dfb704968a70717348f8c
C_038,07_11,C-038_2021-07-11.JPG,field_date_image,4,98925620fd8fc677af64e37bc37a3e5b02f3e8c80c4f09d316136f944e48b0fa
C_038,07_30,C-038_2021-07-30.JPG,field_date_image,3,a84c3f35dc9d7cae7898b206257abb7d07c7b9b9850555eebcfa0b2435866e54
C_038,08_06,C-038_2021-08-06.JPG,field_date_image,3,248ccd83617090934a7796e079ba3fcbed4fb7bbf6442b140068c632d3ba92e9
C_039,07_02,C-039_2021-07-02.JPG,field_date_image,7,24de1b4b999088857f36502c92dacf79d4c130593e41626d1c9f234d55ec4391
C_039,07_11,C-039_2021-07-11.JPG,field_date_image,7,f7cfae0748bd3b714da6d81b0376f1cf0962c9412aea52c62d9be5930d64848a
C_039,07_18,C-039_2021-07-18.JPG,field_date_image,6,c0d7126010623516e39e0fb053c73b214b86af5fc5ab1df96e2b8007a32ba553
C_039,07_30,C-039_2021-07-30.JPG,field_date_image,6,a2b34b928838468311d98dadd8f826a7bf416b103f1d5432edad9adce26baae9
C_039,08_06,C-039_2021-08-06.JPG,field_date_image,6,27774fb8a8fb788eb1eef378a9c3836d8b5774eed359b1d2f290b6d3e03a558e
C_010,07_12,CO106.21-C-010_2021-07-12-12-11_CAM405.JPG,installation_reference,6,90e2050ea39c2a7ae2589c661e8025fa2b405ca55cb2f7f1f73fca240edcbf43
C_005,07_12,CO255.21-C-005_2021-07-12-10-21_CAM811.JPG,installation_reference,5,7aad40933d14a0470d10133e9449eaf5d6d941d2a959acaabefc8c294a4d5644
C_021,07_12,EP1.21-C-021_2021-07-12-10-08_CAM219.JPG,installation_reference,3,ac6bb7e616f615525cba073eb3d42c531c31728f7a1ea1516553b4877de5e349
C_024,07_12,I29.21-C-024_2021-07-12-11-51_CAM574.JPG,installation_reference,5,af1077e089cbc01ecb9252d139212467fd8e73809207f4e2e17882bccca7a26a
C_032,07_12,Il101.21-C-032_2021-07-12-09-22_CAM810.JPG,installation_reference,7,9a92bb31858adb265be8a4d5fbb490e4ba4c399703861b1939d770987291c284
C_037,07_12,L127.21-C-037_2021-07-12-11-28_CAM294.JPG,installation_reference,5,236daeb24cb2e48e436de9a4128962fa6e43864e5e0d7e53d54bc75164ae4b86
C_039,07_12,LH54.21-C-039_2021-07-12-10-57_CAM827.JPG,installation_reference,7,d143af89ec41a13c725874c5a7cbdb875dca81a0968e70d6dbbf238fc899e38d
C_004,07_12,LH85.21-C-004_2021-07-12-10-21_CAM789.JPG,installation_reference,6,aeeadc1003983e633700302c60a137d9741162de0f67475f3d1311754c4506b7
