rowid,plantid,date_md,date,height_true,height_est_cm,height_sam,plant_uid,max_gust,measurement_sd_cm,is_endpoint,online_sequence_number,elapsed_days,predictive_mean_cm,predictive_sd_cm,predictive_q025_cm,predictive_q975_cm,predictive_log_score,predictive_pit,last_observation_prediction_cm,linear_extrapolation_prediction_cm,posterior_mean_cm,posterior_sd_cm,posterior_q025_cm,posterior_q10_cm,posterior_median_cm,posterior_q90_cm,posterior_q975_cm,posterior_growth_mean_cm_day,posterior_growth_sd_cm_day,outlier_posterior_probability,effective_sample_size
C_004,p1,07_02,2021-07-02,46,52.40163029126214,48.6586566990291,C_004_p1,11,17.39999999946,False,1,0.0,,,,,,,,,48.603773786414656,17.671820100907553,13.81265980775231,25.706637248155506,48.67752947249909,71.3871823745302,83.18949906750161,1.588861074091548,5.753325826880349,,5000.0
C_004,p1,07_11,2021-07-11,60,74.85947184466019,74.8594718446602,C_004_p1,18,29.9999999982,False,2,9.0,65.63804973036369,64.25361944777086,-60.29904438726719,191.57514384799458,-5.255815020887546,0.5570586600060218,48.6586566990291,48.6586566990291,67.68237628693743,30.000167686550558,4.528491917988598,28.759950834743687,67.54507443641047,105.56869852592087,126.981222316047,5.0570496176753075,1.4010211649935924,0.05804889607678616,2878.4711124464443
C_004,p1,07_18,2021-07-18,132,108.13034822006472,106.882690355987,C_004_p1,8,12.0,False,3,7.0,103.16504641117751,36.92619900740501,30.789696356663697,175.54039646569134,-4.559633035755586,0.5400968338424803,74.8594718446602,95.23788362459551,106.91684440411552,12.475165308566611,82.5348284308085,91.88645473331431,107.26315890546232,121.43043144978422,130.6841253581186,3.52670420052657,1.2271815635047256,0.03607025487715839,1155.550204350928
C_004,p1,07_30,2021-07-30,70,105.21914653721684,103.139716763754,C_004_p1,11,17.39999999946,False,4,12.0,149.18332174952016,37.51305164242459,75.65774053036796,222.70890296867236,-5.312174337073664,0.10983571559446376,106.882690355987,161.77963637540435,114.72346833818773,17.660309610612504,82.95899876564981,93.60775011321158,113.65858587612296,135.8503774714959,152.3412672121473,3.158242985437507,1.480873764502971,0.06161292029248468,1701.0081222119998
C_004,p1,08_06,2021-08-06,110,110.83360692556634,95.653769579288,C_004_p1,11,17.39999999946,True,5,7.0,136.72367029440332,32.37085630210418,73.27679194227912,200.17054864652752,-5.192095994794077,0.102268556043218,103.139716763754,100.95631550161808,109.19478200365768,15.866228786348211,79.19261383512149,90.39091747873758,108.66815961544339,128.48482700752137,142.41533450291416,3.449480983187107,1.3095401166086809,0.058850877094453205,1946.941490015041
C_004,p3,07_02,2021-07-02,74,63.83849404530744,54.8969460194175,C_004_p3,11,17.39999999946,False,1,0.0,,,,,,,,,55.22720040123809,17.37357737935326,21.24944403558727,32.986840594459395,55.50832965950527,77.37003792028159,89.4089948684384,1.4419798367565204,5.630556170645501,,5000.0
C_004,p3,07_11,2021-07-11,82,94.82199766990291,92.7425678964401,C_004_p3,18,29.9999999982,False,2,9.0,70.10557958762475,63.98700062108308,-55.30894162969808,195.52010080494756,-5.340241770202177,0.6382461695655345,54.8969460194175,54.8969460194175,84.6852247432102,30.352916556206115,25.496854087045346,46.46491036772966,84.34328100562894,123.28598531116938,143.50759751755456,4.553925216695635,1.6138629137354987,0.059998016136155456,2674.946391808213
C_004,p3,07_18,2021-07-18,130,122.89429961165048,133.915277411003,C_004_p3,8,12.0,False,3,7.0,116.19963587963103,35.709660361174464,46.20870157172908,186.19057018753298,-4.60740296821682,0.6900888510284423,92.7425678964401,122.17805157856878,131.20850064766222,12.356510429815126,107.47477569006341,116.46531163141663,131.34392305166878,145.81984381789692,154.6351616584031,2.4544385443718717,1.0174645480462141,0.03705965146424496,1011.4606675209725
C_004,p3,07_30,2021-07-30,136,132.251733592233,133.499391456311,C_004_p3,11,17.39999999946,False,4,12.0,161.4321640121642,37.119198278998,88.67853538532813,234.18579263900028,-4.834450178372734,0.22587055200897788,133.915277411003,204.49706515025366,140.27067046862797,16.485666588517905,109.53579492242127,119.78790476171135,139.81677650425826,160.68007713696542,173.4127573999735,2.2560579545343913,1.285444867130442,0.04437127915658545,2536.3868513111606
C_004,p3,08_06,2021-08-06,132,129.75641786407766,145.975970097087,C_004_p3,11,17.39999999946,True,5,7.0,156.35944742583104,32.863070550490725,91.94782914686921,220.77106570479287,-4.482055510876545,0.3760157237858221,133.499391456311,133.25679131607401,148.97434591666814,15.194876845219227,120.34464277826169,130.33617849889646,149.16389681563126,168.49888058517772,178.91250455838295,2.0950110133056814,1.017960306103897,0.034699349601363005,1621.6939675040935
