rowid,plantid,date_md,date,height_true,height_est_cm,height_sam,plant_uid,max_gust,measurement_sd_cm,is_endpoint,online_sequence_number,elapsed_days,predictive_mean_cm,predictive_sd_cm,predictive_q025_cm,predictive_q975_cm,predictive_log_score,predictive_pit,last_observation_prediction_cm,linear_extrapolation_prediction_cm,posterior_mean_cm,posterior_sd_cm,posterior_q025_cm,posterior_q10_cm,posterior_median_cm,posterior_q90_cm,posterior_q975_cm,posterior_growth_mean_cm_day,posterior_growth_sd_cm_day,outlier_posterior_probability,effective_sample_size,ewma_cm,running_median3_cm,holt_cm,gaussian_kalman_cm
C_004,p1,07_02,2021-07-02,46,52.40163029126214,48.6586566990291,C_004_p1,11,17.39999999946,False,1,0.0,,,,,,,,,48.603773786414656,17.671820100907553,13.81265980775231,25.706637248155506,48.67752947249909,71.3871823745302,83.18949906750161,1.588861074091548,5.753325826880349,,5000.0,48.6586566990291,48.6586566990291,48.6586566990291,48.6586566990291
C_004,p1,07_11,2021-07-11,60,74.85947184466019,74.8594718446602,C_004_p1,18,29.9999999982,False,2,9.0,65.63804973036369,64.25361944777086,-60.29904438726719,191.57514384799455,-5.255815020887546,0.5570586600060218,48.6586566990291,48.6586566990291,67.68237628693743,30.00016768655056,4.528491917988598,28.759950834743687,67.54507443641047,105.56869852592088,126.981222316047,5.057049617675308,1.4010211649935924,0.0580488960767861,2878.4711124464443,61.75906427184465,61.75906427184465,61.75906427184465,71.5293283337062
C_004,p1,07_18,2021-07-18,132,108.13034822006472,106.882690355987,C_004_p1,8,12.0,False,3,7.0,103.16504641117751,36.92619900740501,30.789696356663697,175.54039646569134,-4.559633035755586,0.5400968338424803,74.8594718446602,95.23788362459553,106.91684440411552,12.475165308566613,82.5348284308085,91.88645473331432,107.26315890546232,121.43043144978422,130.6841253581186,3.52670420052657,1.2271815635047256,0.0360702548771583,1155.550204350928,84.32087731391582,74.8594718446602,85.33979790291258,106.01434245176978
C_004,p1,07_30,2021-07-30,70,105.21914653721684,103.139716763754,C_004_p1,11,17.39999999946,False,4,12.0,149.18332174952016,37.51305164242459,75.65774053036796,222.7089029686724,-5.312174337073664,0.1098357155944637,106.882690355987,161.77963637540435,114.72346833818771,17.660309610612504,82.95899876564981,93.60775011321158,113.65858587612296,135.8503774714959,152.3412672121473,3.158242985437507,1.480873764502971,0.0616129202924846,1701.0081222119998,93.7302970388349,103.139716763754,99.67954562071192,108.13334064743833
C_004,p1,08_06,2021-08-06,110,110.83360692556634,95.653769579288,C_004_p1,11,17.39999999946,True,5,7.0,136.72367029440332,32.37085630210418,73.27679194227912,200.17054864652752,-5.192095994794077,0.102268556043218,103.139716763754,100.95631550161808,109.19478200365768,15.866228786348213,79.19261383512149,90.39091747873758,108.6681596154434,128.48482700752135,142.41533450291416,3.449480983187107,1.3095401166086809,0.0588508770944532,1946.941490015041,94.69203330906146,103.139716763754,101.04171075098162,100.62083923540698
C_004,p3,07_02,2021-07-02,74,63.83849404530744,54.8969460194175,C_004_p3,11,17.39999999946,False,1,0.0,,,,,,,,,55.22720040123809,17.37357737935326,21.24944403558727,32.986840594459395,55.50832965950527,77.37003792028159,89.4089948684384,1.4419798367565204,5.630556170645501,,5000.0,54.8969460194175,54.8969460194175,54.8969460194175,54.8969460194175
C_004,p3,07_11,2021-07-11,82,94.82199766990291,92.7425678964401,C_004_p3,18,29.9999999982,False,2,9.0,70.10557958762475,63.98700062108308,-55.30894162969808,195.5201008049476,-5.340241770202177,0.6382461695655345,54.8969460194175,54.8969460194175,84.6852247432102,30.352916556206115,25.496854087045342,46.46491036772966,84.34328100562894,123.28598531116938,143.50759751755456,4.553925216695635,1.6138629137354987,0.0599980161361554,2674.946391808213,73.8197569579288,73.8197569579288,73.8197569579288,87.93236060283988
C_004,p3,07_18,2021-07-18,130,122.89429961165048,133.915277411003,C_004_p3,8,12.0,False,3,7.0,116.19963587963105,35.709660361174464,46.20870157172908,186.19057018753296,-4.60740296821682,0.6900888510284423,92.7425678964401,122.17805157856878,131.20850064766222,12.356510429815126,107.4747756900634,116.46531163141664,131.34392305166878,145.81984381789692,154.6351616584031,2.454438544371872,1.017464548046214,0.0370596514642449,1011.4606675209724,103.8675171844659,92.7425678964401,105.33929136857233,132.87699922755434
C_004,p3,07_30,2021-07-30,136,132.251733592233,133.499391456311,C_004_p3,11,17.39999999946,False,4,12.0,161.4321640121642,37.119198278998,88.67853538532813,234.18579263900028,-4.834450178372734,0.2258705520089778,133.915277411003,204.4970651502537,140.27067046862797,16.485666588517905,109.53579492242127,119.78790476171136,139.81677650425826,160.68007713696542,173.4127573999735,2.2560579545343917,1.285444867130442,0.0443712791565854,2536.3868513111606,118.68345432038845,133.499391456311,126.84112333532653,139.73766663628334
C_004,p3,08_06,2021-08-06,132,129.75641786407766,145.975970097087,C_004_p3,11,17.39999999946,True,5,7.0,156.35944742583104,32.863070550490725,91.9478291468692,220.77106570479287,-4.482055510876545,0.3760157237858221,133.499391456311,133.256791316074,148.97434591666814,15.194876845219229,120.34464277826169,130.33617849889646,149.16389681563126,168.49888058517772,178.91250455838295,2.0950110133056814,1.017960306103897,0.034699349601363,1621.6939675040935,132.32971220873773,133.915277411003,141.12631847828038,148.32231354561156
C_004,p4,07_02,2021-07-02,60,66.1258667961165,57.8081477022654,C_004_p4,11,17.39999999946,False,1,0.0,,,,,,,,,57.74818759345081,17.323094973564338,23.985561052875035,34.96671695389636,58.05955328708058,79.1972931134347,91.6182294012586,1.5424882169249847,5.681818711775603,,5000.0,57.8081477022654,57.8081477022654,57.8081477022654,57.8081477022654
C_004,p4,07_11,2021-07-11,84,96.48554148867314,97.3173133980582,C_004_p4,18,29.9999999982,False,2,9.0,73.34255076879741,64.94459688766348,-53.94885913102301,200.63396066861785,-5.354996340745246,0.6439947054385036,57.8081477022654,57.8081477022654,88.94016968350326,30.1472935252015,30.413032527461628,50.44070941342216,88.32744697078301,127.90769781448826,148.4301076505425,4.386974182111892,1.6046454760900033,0.0599890759769562,2622.206623664221,77.5627305501618,77.5627305501618,77.5627305501618,92.29566842122281
C_004,p4,07_18,2021-07-18,130,124.76578640776698,129.756417864078,C_004_p4,8,12.0,False,3,7.0,119.8868106397114,35.07109217524847,51.1474699762244,188.6261513031984,-4.5091892415904615,0.6108047717483525,97.3173133980582,128.04666449478594,129.01209900927185,12.30904510196844,104.80036020021753,113.9280906396706,128.99759380157562,143.97297009699622,151.5137507866463,2.5437228080159717,1.0561493197676894,0.0345769284821962,1102.6756692695033,103.6595742071199,97.3173133980582,105.19604176195628,129.1205382492324
C_004,p4,07_30,2021-07-30,140,153.87780323624594,133.915277411003,C_004_p4,11,17.39999999946,False,4,12.0,159.0187287118839,37.66716669922775,85.19108198139752,232.8463754423703,-4.778044400890172,0.2525603308409669,129.756417864078,185.36631123439764,139.84557057932005,16.299414290815257,109.19543688777128,119.48740563339368,139.43070165907076,160.17564140697047,172.1308813801373,2.239992210315468,1.303888112513365,0.0424937664902144,2647.580206312668,118.78742580906145,129.756417864078,126.39995415513431,139.07483520723264
C_004,p4,08_06,2021-08-06,140,144.52036925566344,130.588189773463,C_004_p4,11,17.39999999946,True,5,7.0,155.32671119881542,33.4926358627986,89.68114490773016,220.97227748990068,-4.721956862879042,0.2300671586775341,133.915277411003,136.3412788133759,137.97118175613184,15.570512287930155,108.38958169371092,118.00586690453645,137.46090755809217,157.091045784702,169.23233424716335,2.353901204317597,1.0402940869747603,0.0413896849979863,1369.0754994452034,124.68780779126223,130.588189773463,132.92497098593955,135.74459556067177
C_005,p1,07_11,2021-07-11,113,131.83584763754044,128.50876,C_005_p1,18,29.9999999982,False,1,0.0,,,,,,,,,128.40029905620165,30.191368744562308,70.09227080470615,89.87320137381433,128.61420873997662,166.7159939638094,186.53930564309996,1.5741504203140333,5.763841473319462,,5000.0,128.50876,128.50876,128.50876,128.50876
C_005,p1,07_18,2021-07-18,140,154.08574621359222,116.032181359223,C_005_p1,8,12.0,False,2,7.0,139.1939691873114,56.51181326997915,28.430815178152272,249.95712319647052,-5.023302798748478,0.3409552590759548,128.50876,128.50876,116.69675165574154,14.56559106162164,91.5796683233052,100.83827654868864,116.34630783554914,132.1619797578533,143.69868764610814,3.0171807243996978,1.1204288896378989,0.0470921255857659,1500.6372478084731,122.27047067961149,122.27047067961149,122.27047067961149,116.41282584567483
C_005,p1,07_30,2021-07-30,144,168.22586867313916,114.784523495146,C_005_p1,11,17.39999999946,False,3,12.0,152.31752590204405,37.16740023813395,79.46942143530151,225.1656303687866,-5.039483997314731,0.1562867823941978,116.032181359223,94.64376083217672,123.73652905945774,16.777980239259293,92.39636236867558,103.98002812349262,123.11001897596653,143.8955939929845,158.7078971352835,2.803918282332584,1.39857211262645,0.0507899216512634,2112.784335728523,118.52749708737875,116.032181359223,117.45807606102643,114.00903065685952
C_005,p1,08_06,2021-08-06,144,153.87780323624594,121.854584724919,C_005_p1,11,17.39999999946,True,4,7.0,143.1809512689701,33.03500385402333,78.43234371508437,207.92955882285585,-4.649213648757174,0.2592793365517435,114.784523495146,114.05672307443442,128.31361271907184,15.481156859057291,98.50343186881896,108.74864546977018,128.15218696569414,147.91995774958914,158.7325082835253,2.6100949984077086,1.101400268272801,0.0393133214430083,2994.568676561448,120.19104090614887,116.032181359223,118.87654422792417,119.93122225368545
C_005,p4,07_11,2021-07-11,78,111.45743585760518,103.555602718447,C_005_p4,18,29.9999999982,False,1,0.0,,,,,,,,,103.39654267438034,30.34743053291202,42.94151797417221,65.06975113091809,103.05809159845066,141.4645627556457,164.73378474818824,1.4957840263356852,5.667424551255612,,5000.0,103.555602718447,103.555602718447,103.555602718447,103.555602718447
C_005,p4,07_18,2021-07-18,120,127.67698809061488,103.555602718447,C_005_p4,8,12.0,False,2,7.0,114.42909613928128,55.90421475632285,4.856835216888513,224.00135706167407,-4.957106236051763,0.4228913320041874,103.555602718447,103.555602718447,103.39237353716672,14.151824961576898,77.83925899671577,88.12158601159953,103.01054302547948,118.9214023481742,128.9161365693768,3.7652047272858846,1.330762551603576,0.0455162717025829,1577.5951605167777,103.555602718447,103.555602718447,103.555602718447,103.555602718447
C_005,p4,07_30,2021-07-30,130,128.50876,129.756417864078,C_005_p4,11,17.39999999946,False,3,12.0,148.89667981006832,37.565088678455936,75.26910600029468,222.52425361984197,-4.696890930579421,0.3051929778578673,103.555602718447,103.555602718447,133.9693505085816,16.32064830164734,103.10273078522091,113.25753606646764,133.67232378688038,154.0454700942442,166.75841502697097,2.4071798736331056,1.339065081372488,0.0403066980439998,2843.06050834859,116.6560102912625,103.555602718447,116.6560102912625,128.14158254650633
C_005,p4,08_06,2021-08-06,130,125.5975583171521,130.588189773463,C_005_p4,11,17.39999999946,True,4,7.0,150.79343223893773,33.389618945587365,85.34977910558649,216.23708537228896,-4.627497977635445,0.2725444969104579,129.756417864078,145.0402266990294,136.4110445759374,15.3781160036892,106.81071528155782,117.14533002242428,136.1212368447963,156.03574667145935,167.2569210135163,2.3535830643252904,1.0324961347870227,0.0385932901606341,1607.9695901576824,123.62210003236275,129.756417864078,124.38629047411033,131.9885776630507
C_005,p5,07_11,2021-07-11,108,113.95275158576052,116.863953268608,C_005_p5,18,29.9999999982,False,1,0.0,,,,,,,,,116.97975641967214,29.60408607768957,59.71481656595131,79.32044135667567,116.73941291380072,154.62409322684238,175.46515141897964,1.4626434154295374,5.64515095025526,,5000.0,116.863953268608,116.863953268608,116.863953268608,116.863953268608
C_005,p5,07_18,2021-07-18,132,136.82647909385113,132.251733592233,C_005_p5,8,12.0,False,2,7.0,127.24643558003709,55.79345555791146,17.89126268653061,236.60160847354356,-4.99025529316196,0.5357416433934586,116.863953268608,116.863953268608,131.34172433353365,14.348574915539004,105.1320521363537,115.99943116177364,131.3186475043873,147.43328491948157,157.05876960365148,2.4799815834725694,1.0828017635806122,0.0469049805408328,1529.4012417163026,124.55784343042049,124.55784343042049,124.55784343042049,131.7822720589424
C_005,p5,07_30,2021-07-30,140,144.936255210356,127.261102135922,C_005_p5,11,17.39999999946,False,3,12.0,161.4036363954528,37.90208486013241,87.11555006959327,235.69172272131232,-4.971486174204534,0.1838449751338113,132.251733592233,158.63078557559012,135.52722871676949,16.93255797707803,103.7136397987382,114.3177514710106,135.36067821971594,155.96629480057064,169.273149638787,2.380476858873392,1.3329963847885304,0.0486437906440877,2277.1970511114027,125.90947278317125,127.261102135922,127.22842538233911,128.61997051720348
C_005,p5,08_06,2021-08-06,138,133.91527741100325,130.17230381877,C_005_p5,11,17.39999999946,True,4,7.0,152.126659940842,33.091360485085715,87.26759339007398,216.98572649161,-4.65846054469638,0.2535222311411481,127.261102135922,124.34990045307391,136.5994725106939,15.476950599607614,106.73424543796548,117.46367187968984,136.2246058135943,156.07307794820008,167.69730877761796,2.356671099330771,1.0504449896936383,0.0395417762717581,2957.67265681047,128.0408883009706,130.17230381877,129.47165976069482,130.1413156145347
C_009,p1,07_11,2021-07-11,78,78.18655948220065,77.3547875728155,C_009_p1,18,29.9999999982,False,1,0.0,,,,,,,,,76.86570237045765,29.754164362765,18.033486745701712,38.51594009248044,76.61860457888753,115.06008721794356,135.24364521607924,1.3412548884124784,5.623310061386768,,5000.0,77.3547875728155,77.3547875728155,77.3547875728155,77.3547875728155
C_009,p1,07_18,2021-07-18,120,116.0321813592233,114.784523495146,C_009_p1,8,12.0,False,2,7.0,87.13342757514746,54.50060290312836,-19.68775411498412,193.95460926527903,-5.187429185595384,0.6940467531197699,77.3547875728155,77.3547875728155,112.49859527394398,15.413094832910884,83.00700678792009,96.83629362422276,112.5546701977378,128.7295531909689,138.6352656804934,3.2253413489883016,1.151238040905712,0.0532766667351546,1284.6261074161382,96.06965553398075,96.06965553398075,96.06965553398075,113.64259003579053
C_009,p1,07_30,2021-07-30,142,149.71894368932038,154.293689190938,C_009_p1,11,17.39999999946,False,3,12.0,151.41692101514727,38.21960302918704,76.50649907794066,226.3273429523539,-4.577040383418263,0.5299998326945018,114.784523495146,178.949785076284,153.6939109645172,15.9110517459262,122.03535674896614,133.8708902625837,153.812452627713,172.9856393357092,185.1261198006593,2.020021472809669,1.2810985933521248,0.0369894461435495,3124.100790704726,125.18167236245938,114.784523495146,128.3899354415163,154.41578933577887
