estimator,n,bias_cm,mae_cm,rmse_cm,baseline_minus_proposed_mae_cm,ci95_cm,bootstrap_probability_gain_gt_zero
Single-frame image extent,132,2.639655152495845,12.026526477395292,16.813635318247837,1.0593458845164925,"[-0.14309612965628868, 2.378004788069241]",0.95585
EWMA (alpha=0.5),132,-9.777454947410998,14.976424727370786,20.15575398164095,4.009244134491986,"[1.4764808000056613, 6.733655226127515]",0.99935
Running median (three images),132,-12.152652099637132,18.76846813278413,27.140110908002775,7.80128753990533,"[3.829733271384548, 12.679295795255733]",1.0
"Holt level-trend (alpha=0.5, beta=0.2)",132,-8.085989707663579,14.04395558406174,19.24903483652269,3.0767749911829405,"[0.77211280210217, 5.476065136376927]",0.997
Gaussian local-linear Kalman filter,132,2.743081860635742,11.62270400337539,16.51536539288003,0.6555234104965901,"[-0.4323668375843002, 1.7924977059852978]",0.87955
Robust Bayesian particle filter,132,2.7346487827270094,10.9671805928788,15.80699428196003,,,
