estimator,absolute_error_q25_cm,absolute_error_q50_cm,absolute_error_q75_cm,absolute_error_q90_cm,absolute_error_q95_cm
Single-frame image extent,3.351223656957897,8.735845760517599,15.31965553398057,26.014947223300904,31.50517486084136
EWMA (alpha=0.5),5.381261035598762,11.92057022653723,21.084914518608443,29.86759456957932,37.24793997410997
Running median (three images),5.365426262135896,12.12810750809065,25.2611021359225,42.96810450485437,65.61032474433648
"Holt level-trend (alpha=0.5, beta=0.2)",5.243432346278325,9.849787887810045,20.344907216828453,28.571875196270668,35.29625736028656
Gaussian local-linear Kalman filter,3.399577250476213,8.411988450093606,15.561909805651268,25.942652065251902,31.76493001750053
Robust Bayesian particle filter,3.3099448211628584,7.301512194165987,15.152055101669454,23.353314692463627,30.34929151423305
