omitted_row,records_retained,single_frame_mae_cm,particle_filter_mae_cm,mae_improvement_cm
C_004,117,12.101652573230428,11.217907471247656,0.8837451019827718
C_005,120,11.867916431499436,10.875987812980528,0.9919286185189087
C_009,120,12.427026939590068,11.169134049505788,1.25789289008428
C_010,122,12.442456528197768,11.267359223410274,1.175097304787494
C_011,123,11.937999891598901,11.324415719148178,0.6135841724507234
C_021,127,11.831461308258778,10.757031625200607,1.0744296830581703
C_024,120,12.473646212513462,11.206690860763754,1.2669553517497079
C_029,117,12.298223046496801,11.406338244645495,0.8918848018513064
C_032,120,12.106449951456286,11.032764601062107,1.0736853503941788
C_037,120,12.42933526752964,11.011643207435133,1.417692060094506
C_038,129,10.866809323398792,9.839422234031401,1.0273870893673909
C_039,117,11.627678199872737,10.58815012811141,1.0395280717613264
