method,n,bias_cm,mae_cm,rmse_cm
Single frame,63,-9.549906376944412,13.383981799980047,18.005861907235065
Identical candidates plus post-detection filter,63,-9.272055844924466,13.074152719256212,17.71669889781884
Height prior in candidate scoring plus identical filter,63,-9.272055844924466,13.074152719256212,17.71669889781884
