model,split,n,cameras,plants,bias_cm,mae_cm,rmse_cm,mean_log_score,mean_wis_cm,mean_pit
guessed,all,1638,8,47,3.6072129140544456,16.359319274579814,23.526780426895723,-4.56343110166268,9.099240815971557,0.4708660145936346
guessed,2024_development,1266,6,36,3.7414592377905693,16.537659214600076,23.73628436802544,-4.578252788394102,9.193932568376981,0.47103960776369463
guessed,2025_locked_test,372,2,11,3.1503423606944096,15.752388188381826,22.799371517640658,-4.512989554883165,8.776983400527296,0.47027523783746267
unit_consistent,all,1638,8,47,-0.05238327364190011,15.133046509548457,21.33877375712729,-4.440331802357202,8.081249356456187,0.504646204967442
unit_consistent,2024_development,1266,6,36,-0.28297194924923785,15.002070142886604,20.860098432213835,-4.426793405866652,7.930199479737993,0.5073374012587972
unit_consistent,2025_locked_test,372,2,11,0.7323620578604918,15.578788660607335,22.892944883441064,-4.48640602267181,8.595306194964875,0.4954874562984748
