image,camera,date,width_px,height_px,sha256
11430.21-C-009_2021-07-12-10-32_CAM374.JPG,C-009,2021-07-12,773,1030,9d325b639c6f48210398a0a49bf16eda71b3b5e26bd5b45f41e30abc3fe8b015
A641.21-C-038_2021-07-12-10-24_CAM176.JPG,C-038,2021-07-12,773,1030,aed37b446ee17e1004d15af11dcfa62c95c6df5a9eb203e3ed9a686461bf5640
B73.21-C-011_2021-07-12-11-09_CAM397.JPG,C-011,2021-07-12,773,1030,64a09daf685d42dcb3a9fe6be220f1072530efe017317c5a5a3ae6ca78f137e8
B73.21-C-029_2021-07-12-10-57_CAM573.JPG,C-029,2021-07-12,773,1030,8361bbf54df468de3d6525eeefd466956f3a8e5865682d8608c4cff69cd31ddd
C-004_2021-07-02.JPG,C-004,2021-07-02,773,1030,fe3c67eeea8f69f6f68083bbcc49da1d84efc8106a58c909981315b9ebeaf712
C-004_2021-07-11.JPG,C-004,2021-07-11,773,1030,3f148d4790796b92375a4dfaff085ae5718969206995a1b112482c3303546a08
C-004_2021-07-18.JPG,C-004,2021-07-18,773,1030,159b0172308d90c7dc79ead140ff08e7404aaebc72250bbd2470ed39a349615b
C-004_2021-07-30.JPG,C-004,2021-07-30,773,1030,1d8a3008694d2dbe7c1d3f38b00093d6be6a51f11bd8e482a1c0ee53296464d2
C-004_2021-08-06.JPG,C-004,2021-08-06,773,1030,4e088af4806f12b534886b793c5777458a8c3545edb0195dbb069ac94cbb1130
C-005_2021-07-11.JPG,C-005,2021-07-11,773,1030,ac35f473c0c20712a877458bf64e9c1bd871d9d914eb0e7d502d1c7b17919229
C-005_2021-07-18.JPG,C-005,2021-07-18,773,1030,99d581aaf712ef1f57aa87b920d51e054a4011ab7860ed85bd4c6e4fd7d825b3
C-005_2021-07-30.JPG,C-005,2021-07-30,773,1030,cd4a4220f2c9c890de886a005c2fc92e6ca42033ce9223dbaed61564fd4db107
C-005_2021-08-06.JPG,C-005,2021-08-06,773,1030,0861bb81358a6b45ee0d497070fca3fc3f9c5bd48503e9c6b33bee4c639e6751
C-009_2021-07-11.JPG,C-009,2021-07-11,773,1030,8ff43f7f74fcc7669c54ba3e822b28a08ed40fe289dac9947b230fdc9fdf87aa
C-009_2021-07-18.JPG,C-009,2021-07-18,773,1030,0aab1d66d15a26750783e606871b488692001baf6ab6bc0e191cb6b4b3036baf
C-009_2021-07-30.JPG,C-009,2021-07-30,773,1030,4bcd8f2aab3368eaf9e5dbe2e86887eb06fbc7ae95cc022eed5b6371f09790db
C-009_2021-08-06.JPG,C-009,2021-08-06,773,1030,ce9f4ae656e98cc7a7b4ee8f32ee78a83be4ab923da756cf8c139b9e6b764533
C-010_2021-07-02.JPG,C-010,2021-07-02,773,1030,628d300f19d30491691b96a3a93ba5883d36dd337717d4f225124a84c24598f8
C-010_2021-07-11.JPG,C-010,2021-07-11,773,1030,6933b0f73fb84d5a6aaa6bf0c6bac682d764e5433fe4539d90aed914abd3c814
C-010_2021-07-18.JPG,C-010,2021-07-18,773,1030,2d1c3429cb69664528b1dd2ea214c8b15825ca0cc67a425f5e1701dfd56bfa9e
C-010_2021-07-30.JPG,C-010,2021-07-30,773,1030,2e462cb4aa70fa6f968f144e38e7dbdc1a506034115fbf752eeb1786f118b751
C-011_2021-07-11.JPG,C-011,2021-07-11,773,1030,d89a63564059c597166bdb56aa2aec003d22179fed67a799116c1c554232754f
C-011_2021-07-18.JPG,C-011,2021-07-18,773,1030,d09a3b221be31b2085b42134a08101c34c6f7dc2bf537a87fd611206134bedd8
C-011_2021-07-30.JPG,C-011,2021-07-30,773,1030,ea12d00165ef7669cfb4837507830600132b78e4adff0e199cdcae1478137c53
C-021_2021-07-02.JPG,C-021,2021-07-02,773,1030,d06484eeed8f206db21456484b5c2e0242aedb33f5a8a8be14f50d29981869e3
